epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9247,0.77186,1.00471,1.35813,0.96144,0.935,0.97626,0.78723,0.7507,0.82227,1.39494,0.000651163,0.000651163,0.000651163
2,28.3362,0.59374,0.6845,1.19799,0.53653,0.29,0.39363,0.25244,1.28434,2.61484,1.80278,0.00129174,0.00129174,0.00129174
3,42.1484,0.59313,0.61972,1.17085,0.89283,0.91638,0.94845,0.59752,1.13763,1.53392,1.67166,0.00190591,0.00190591,0.00190591
4,55.4173,0.59959,0.64032,1.17815,0.51883,0.73,0.62145,0.33667,1.5127,4.49537,2.23147,0.0018812,0.0018812,0.0018812
5,68.3997,0.56902,0.5954,1.14511,0.78276,0.685,0.79114,0.55129,0.99258,1.82068,1.51745,0.0018416,0.0018416,0.0018416
6,81.3681,0.55109,0.566,1.13433,0.96561,0.95,0.98925,0.84614,0.60912,0.55052,1.25324,0.001802,0.001802,0.001802
7,94.611,0.53487,0.54357,1.12914,0.98352,0.93,0.96976,0.78376,0.67671,0.62829,1.32859,0.0017624,0.0017624,0.0017624
8,107.641,0.52465,0.50145,1.11904,0.95687,0.91,0.96006,0.6221,1.16212,0.97343,1.89074,0.0017228,0.0017228,0.0017228
9,120.476,0.4999,0.48884,1.09269,0.8549,0.88376,0.90787,0.69446,0.67604,0.72581,1.33831,0.0016832,0.0016832,0.0016832
10,133.591,0.51294,0.49274,1.11327,0.91787,0.865,0.94491,0.80172,0.54841,0.80574,1.15804,0.0016436,0.0016436,0.0016436
11,146.333,0.48349,0.46509,1.08105,0.94869,0.9244,0.96736,0.8016,0.60399,0.55856,1.24811,0.001604,0.001604,0.001604
12,159.495,0.47207,0.44975,1.08117,0.97745,0.96,0.99151,0.89895,0.43762,0.40958,1.07238,0.0015644,0.0015644,0.0015644
13,172.348,0.47067,0.44944,1.0806,0.9736,0.96,0.98008,0.90661,0.39728,0.41195,1.03129,0.0015248,0.0015248,0.0015248
14,185.181,0.47198,0.45759,1.07768,0.97023,0.97771,0.9928,0.90213,0.43907,0.40547,1.04008,0.0014852,0.0014852,0.0014852
15,198.722,0.45143,0.42322,1.06319,0.97959,0.95976,0.98868,0.91314,0.39569,0.43364,1.02457,0.0014456,0.0014456,0.0014456
16,211.744,0.45709,0.41056,1.07445,0.92549,0.935,0.97779,0.78911,0.65565,0.57861,1.27908,0.001406,0.001406,0.001406
17,225.099,0.43246,0.40358,1.05074,0.98449,0.99,0.99399,0.91718,0.41917,0.39858,1.05399,0.0013664,0.0013664,0.0013664
18,238.306,0.42052,0.38383,1.05198,0.98504,0.98766,0.99078,0.90772,0.40906,0.34334,1.02105,0.0013268,0.0013268,0.0013268
19,251.204,0.4236,0.38456,1.04175,0.995,0.99403,0.9925,0.9376,0.36417,0.31742,0.98124,0.0012872,0.0012872,0.0012872
20,264.443,0.40722,0.38108,1.02756,0.97585,0.965,0.98818,0.91411,0.36221,0.35675,0.97946,0.0012476,0.0012476,0.0012476
21,277.593,0.41102,0.37031,1.03729,0.98513,0.99399,0.99378,0.92442,0.36469,0.30364,0.99018,0.001208,0.001208,0.001208
22,290.574,0.40758,0.37075,1.03471,0.9829,0.985,0.99198,0.93046,0.35565,0.33342,0.98238,0.0011684,0.0011684,0.0011684
23,303.669,0.39123,0.36514,1.02667,0.99004,0.99423,0.98998,0.93681,0.33135,0.29651,0.95718,0.0011288,0.0011288,0.0011288
24,316.733,0.39928,0.34976,1.02472,0.98899,0.98,0.98879,0.92793,0.32728,0.30861,0.95295,0.0010892,0.0010892,0.0010892
25,329.601,0.39114,0.34871,1.02803,0.97499,0.97473,0.98873,0.90751,0.41429,0.36749,1.0391,0.0010496,0.0010496,0.0010496
26,342.724,0.38384,0.34272,1.02575,0.98862,0.97,0.99078,0.93919,0.30726,0.29191,0.92767,0.00101,0.00101,0.00101
27,355.9,0.36121,0.32853,1.0028,0.98875,0.995,0.99324,0.93265,0.34289,0.29967,0.98508,0.0009704,0.0009704,0.0009704
28,369.158,0.36334,0.32144,1.01438,0.98999,0.98899,0.99139,0.93125,0.3494,0.3042,0.98347,0.0009308,0.0009308,0.0009308
29,381.891,0.36447,0.32653,1.00118,0.98999,0.98919,0.99037,0.93832,0.31486,0.29416,0.94571,0.0008912,0.0008912,0.0008912
30,395.163,0.35029,0.31546,1.00209,0.98991,0.98061,0.98957,0.94175,0.29736,0.27061,0.92589,0.0008516,0.0008516,0.0008516
31,408.235,0.36106,0.32242,1.01136,0.97784,0.995,0.99387,0.93721,0.33006,0.28641,0.96723,0.000812,0.000812,0.000812
32,421.213,0.35142,0.30863,0.99808,0.99009,0.99925,0.99445,0.94249,0.30401,0.26307,0.94325,0.0007724,0.0007724,0.0007724
33,433.95,0.34698,0.30539,1.00336,0.98857,0.975,0.99208,0.94682,0.31806,0.26513,0.935,0.0007328,0.0007328,0.0007328
34,446.78,0.3377,0.28963,0.99249,0.99492,0.97975,0.994,0.95007,0.29194,0.2555,0.91423,0.0006932,0.0006932,0.0006932
35,459.679,0.32607,0.29133,0.98398,0.98956,1,0.99125,0.94668,0.28842,0.23547,0.90942,0.0006536,0.0006536,0.0006536
36,472.245,0.32251,0.28291,0.99424,0.99383,1,0.99425,0.94868,0.2861,0.23426,0.91976,0.000614,0.000614,0.000614
37,484.981,0.34493,0.28872,1.00038,0.99499,0.99361,0.9939,0.95507,0.28604,0.2531,0.91413,0.0005744,0.0005744,0.0005744
38,497.696,0.33311,0.29063,0.99394,0.995,0.99493,0.99445,0.9581,0.26767,0.23282,0.90991,0.0005348,0.0005348,0.0005348
39,510.555,0.30094,0.26638,0.97729,0.9901,0.99984,0.99435,0.957,0.26332,0.23024,0.89735,0.0004952,0.0004952,0.0004952
40,523.911,0.32758,0.27352,0.99183,0.99498,1,0.99187,0.95571,0.25954,0.22322,0.89197,0.0004556,0.0004556,0.0004556
41,539.035,0.2155,0.22763,0.89895,0.99299,0.99,0.9936,0.94724,0.28085,0.24206,0.90931,0.000416,0.000416,0.000416
42,551.309,0.22033,0.21989,0.8957,0.99005,0.9946,0.99209,0.9566,0.26278,0.24483,0.88527,0.0003764,0.0003764,0.0003764
43,563.502,0.19999,0.19735,0.89479,0.99005,0.99455,0.99378,0.96341,0.23692,0.20916,0.87734,0.0003368,0.0003368,0.0003368
44,575.89,0.19197,0.19938,0.87429,0.99499,0.99374,0.9909,0.96148,0.22573,0.21193,0.878,0.0002972,0.0002972,0.0002972
45,588.479,0.19352,0.1888,0.88241,0.995,0.99483,0.99015,0.96236,0.21478,0.19412,0.86715,0.0002576,0.0002576,0.0002576
46,601.04,0.17254,0.1814,0.86828,0.995,0.99475,0.99035,0.96488,0.21163,0.18833,0.8602,0.000218,0.000218,0.000218
47,613.566,0.16941,0.16585,0.87191,0.99502,0.99976,0.99012,0.95746,0.20853,0.18428,0.85692,0.0001784,0.0001784,0.0001784
