epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91686,1.41702,5.01719,1.66413,0,0,0,0,1.25192,5.17855,1.66388,0.00016,0.00016,0.00016
2,9.69879,1.40145,3.63398,1.78824,0.48649,0.17476,0.15682,0.06902,1.4331,4.49055,1.88354,0.00032317,0.00032317,0.00032317
3,12.3793,1.51063,2.48465,1.81385,0.34906,0.35922,0.22656,0.10652,1.7276,3.8577,2.21836,0.00046852,0.00046852,0.00046852
4,16.5056,1.51908,2.08015,1.85857,0.47104,0.2233,0.21888,0.07605,2.00136,3.41771,2.43439,0.00059605,0.00059605,0.00059605
5,19.3634,1.51301,1.84132,1.81529,0.32075,0.16505,0.11448,0.0375,1.91579,10.5442,2.42604,0.00070576,0.00070576,0.00070576
6,22.0992,1.56076,1.74286,1.88435,0.23063,0.23301,0.1497,0.06167,1.9684,3.7539,2.63474,0.00079765,0.00079765,0.00079765
7,25.0144,1.4559,1.66258,1.75097,0.32747,0.23301,0.18863,0.06932,2.15136,3.24433,2.7486,0.00087172,0.00087172,0.00087172
8,28.6214,1.55052,1.76684,1.81369,0.555,0.27854,0.27771,0.09312,2.32848,2.96095,2.88923,0.00092797,0.00092797,0.00092797
9,31.9653,1.46673,1.59338,1.74918,0.4225,0.31068,0.25819,0.09384,2.08104,3.03549,2.40866,0.0009664,0.0009664,0.0009664
10,34.7547,1.37909,1.46383,1.67721,0.3818,0.20388,0.20635,0.07377,1.96771,3.31806,2.42878,0.00098701,0.00098701,0.00098701
11,40.1895,1.39251,1.55215,1.75156,0.28709,0.06796,0.07075,0.02855,2.15507,4.11819,2.65762,0.0009898,0.0009898,0.0009898
12,44.5398,1.38537,1.53863,1.71634,0.27224,0.14563,0.09704,0.03927,2.15948,3.87935,2.73828,0.000911,0.000911,0.000911
13,47.2007,1.36796,1.4874,1.69297,0.28359,0.27184,0.19118,0.08846,1.99828,3.00875,2.51296,0.000812,0.000812,0.000812
14,50.1376,1.29891,1.3713,1.5958,0.44031,0.24444,0.24245,0.09225,1.96386,2.76442,2.3948,0.000713,0.000713,0.000713
15,52.9103,1.35015,1.36565,1.64069,0.43181,0.31729,0.3381,0.12451,2.02696,2.52362,2.44107,0.000614,0.000614,0.000614
16,56.6261,1.2283,1.26963,1.56081,0.55127,0.38835,0.43429,0.19446,1.89782,2.20238,2.33403,0.000515,0.000515,0.000515
17,59.5436,1.18566,1.23634,1.55173,0.52292,0.38835,0.42459,0.17594,1.84158,2.26821,2.30291,0.000416,0.000416,0.000416
18,62.2998,1.15374,1.13508,1.42943,0.53331,0.46599,0.43079,0.17733,1.8763,2.32548,2.28336,0.000317,0.000317,0.000317
19,64.8737,1.11777,1.1477,1.42563,0.65957,0.47029,0.49927,0.22043,1.80357,2.28949,2.15104,0.000218,0.000218,0.000218
20,68.4745,1.12631,1.13945,1.4464,0.66005,0.47573,0.54881,0.25637,1.80117,2.14971,2.13899,0.000119,0.000119,0.000119
