epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4972,1.4075,4.954,1.65312,0,0,0,0,1.38163,5.0417,1.5763,0.00016,0.00016,0.00016
2,33.8788,1.2862,4.56563,1.60732,0,0,0,0,1.54344,4.99873,1.64913,0.00032317,0.00032317,0.00032317
3,36.7589,1.35113,3.95133,1.58195,0,0,0,0,1.49646,4.89491,1.77029,0.00046852,0.00046852,0.00046852
4,39.7487,1.45136,3.2971,1.75761,0.66667,0.03883,0.025,0.00658,2.09418,4.78414,2.45077,0.00059605,0.00059605,0.00059605
5,43.8099,1.6161,2.6188,1.87824,0.20482,0.16505,0.0812,0.02909,1.9352,4.51228,2.33155,0.00070576,0.00070576,0.00070576
6,47.0408,1.66124,2.16851,1.89644,0.15058,0.37864,0.13202,0.04381,1.91793,3.85635,2.28126,0.00079765,0.00079765,0.00079765
7,50.1252,1.60048,1.89046,1.83646,0.23181,0.17476,0.11996,0.04345,1.97125,3.83814,2.71069,0.00087172,0.00087172,0.00087172
8,53.0898,1.68297,1.80336,1.9201,0.36954,0.20388,0.15775,0.06431,1.96555,3.41281,2.52872,0.00092797,0.00092797,0.00092797
9,56.7956,1.60598,1.76801,1.82026,0.22164,0.2233,0.15747,0.04896,2.11772,3.37145,2.79861,0.0009664,0.0009664,0.0009664
10,60.9771,1.53565,1.59295,1.79906,0.20599,0.25243,0.17083,0.06416,2.06162,3.32162,2.67272,0.00098701,0.00098701,0.00098701
11,66.8847,1.57727,1.68181,1.88022,0.15688,0.23301,0.08471,0.02795,2.22537,3.04456,2.8679,0.0009898,0.0009898,0.0009898
12,71.6781,1.52047,1.66634,1.81245,0.26832,0.29195,0.1964,0.08205,1.92246,3.01206,2.40973,0.000911,0.000911,0.000911
13,74.5171,1.38626,1.52584,1.73788,0.26499,0.27184,0.1997,0.08431,1.95027,3.34397,2.49234,0.000812,0.000812,0.000812
14,77.5091,1.32063,1.37551,1.6374,0.46137,0.20388,0.24079,0.12106,1.89993,2.66198,2.29869,0.000713,0.000713,0.000713
15,80.2922,1.40636,1.37552,1.70036,0.76488,0.21359,0.30642,0.14266,1.78119,2.46325,2.14955,0.000614,0.000614,0.000614
16,84.1105,1.26575,1.24204,1.60155,0.46539,0.32118,0.35882,0.16522,1.74158,2.35799,2.11297,0.000515,0.000515,0.000515
17,87.5092,1.23749,1.22525,1.56022,0.61344,0.38521,0.45985,0.19192,1.8433,2.19707,2.14316,0.000416,0.000416,0.000416
18,90.4792,1.202,1.17279,1.48412,0.64437,0.39806,0.47232,0.20213,1.84962,2.02565,2.19903,0.000317,0.000317,0.000317
19,93.3539,1.23061,1.22732,1.50887,0.6706,0.40777,0.49942,0.20527,1.84006,1.88947,2.19793,0.000218,0.000218,0.000218
20,97.2579,1.21696,1.18734,1.54075,0.71046,0.42718,0.51357,0.21926,1.78296,1.77536,2.131,0.000119,0.000119,0.000119
